seller_region,country_code,brand,asin,reporting_date,top_bsr_position,bot_bsr_position,sales,performance,units,discounts,cogs,refunds,sde1,sessions_mobile,sessions_browser,sessions,pageviews_mobile,pageviews_browser,pageviews,topbsr_sales,botbsr_sales,units_sales,refunds_sales,sessionsmobile_sales,pageviews_sales,topbsr_sde1,botbsr_sde1,units_sde1,refunds_sde1,sessionsmobile_sde1,pageviews_sde1,topbsr_units,botbsr_units,units_units,refunds_units,sessionsmobile_units,pageviews_units
eu,uk,incite-nutrition,B00RXIIW7K,2023-10-02,3.0,16.0,2817.04,1,325,-37.42,-412.75,-49.3,799.80000000000018,369,290,659,565,409,974,0.0010649476045778547,0.0056797205577485592,0.115369324,-0.017500639,0.130988555,0.345752989,0.0037509377344336074,0.020005001250312574,0.40635158789697418,-0.061640410102525613,0.46136534133533375,1.2178044511127779,0.0092307692307692316,0.049230769230769231,1.0,-0.151692308,1.135384615,2.996923077
eu,uk,incite-nutrition,B00RXIIW7K,2023-11-15,4.0,33.0,4436.46,1.150272775,515,-51.72,-654.05,-93.81,1134.08,656,448,1104,1064,604,1668,0.000901619759898658,0.0074383630191639282,0.116083544,-0.021145237,0.147865641,0.37597544,0.0035270880361173819,0.029098476297968398,0.45411258465011289,-0.082719032167042891,0.57844243792325056,1.4707957110609482,0.0077669902912621356,0.064077669902912623,1.0,-0.18215534,1.273786408,3.238834951
eu,uk,incite-nutrition,B00RXIIW7K,2023-12-15,2.0,32.0,3444.11,0.898320138,460,-25.97,-584.21,-59.41,749.62999999999965,485,390,875,698,551,1249,0.00058070154553716339,0.0092912247285946142,0.133561355,-0.017249739,0.140820125,0.362648115,0.002667982871549966,0.042687725944799457,0.61363606045649211,-0.079252431199391737,0.64698584635086676,1.6661553032829537,0.0043478260869565218,0.069565217391304349,1.0,-0.129152174,1.054347826,2.715217391
eu,uk,incite-nutrition,B00RXIIW7K,2023-10-22,2.0,31.0,3973.09,1.034317201,462,-33.75,-586.74,-31.72,936.7700000000001,593,343,936,887,467,1354,0.00050338653290008526,0.0078024912599513226,0.116282289,-0.00798371,0.149254107,0.340792683,0.0021349957833833276,0.033092434642441576,0.4931840259615487,-0.033861033124459573,0.63302624977315658,1.4453921453505127,0.004329004329004329,0.0670995670995671,1.0,-0.068658009,1.283549784,2.930735931
eu,uk,incite-nutrition,B00RXIIW7K,2023-11-13,4.0,42.0,3417.13,0.916656969,396,-77.45,-502.92,-21.37,1030.31,450,359,809,682,465,1147,0.0011705729662026319,0.012291016145127636,0.115886724,-0.006253786,0.131689459,0.335661798,0.0038823266783783524,0.0407644301229727,0.38435034115945688,-0.020741330279236348,0.43676175131756462,1.1132571750249924,0.010101010101010102,0.10606060606060606,1.0,-0.053964646,1.136363636,2.896464646
eu,uk,incite-nutrition,B00RXIIW7K,2023-12-05,4.0,36.0,3541.98,0.946030507,404,-39.63,-513.07,-8.06,662.56999999999994,597,410,1007,890,509,1399,0.0011293118538218737,0.010163806684396863,0.114060497,-0.002275563,0.168549794,0.394976821,0.00603709796700726,0.054333881703065343,0.60974689466773324,-0.01216475240351963,0.90103687157583356,2.1114750139607894,0.0099009900990099011,0.0891089108910891,1.0,-0.019950495,1.477722772,3.462871287
eu,uk,incite-nutrition,B00RXIIW7K,2023-07-10,3.0,29.0,1951.71,0.538194143,223,-41.94,-285.44,-6.59,764.67000000000007,197,161,358,297,203,500,0.0015371136080667722,0.014858764877978797,0.114258778,-0.003376526,0.100937127,0.256185601,0.0039232610145552979,0.037924856474034548,0.2916290687486105,-0.00861809669530647,0.25762747328913121,0.65387683575921629,0.013452914798206279,0.13004484304932734,1.0,-0.02955157,0.883408072,2.242152466
eu,uk,incite-nutrition,B00RXIIW7K,2023-12-12,2.0,27.0,4606.07,1.261627024,617,-29,-783.59,-39.22,594.12999999999977,698,520,1218,1023,699,1722,0.00043420964075665375,0.005861830150214826,0.133953674,-0.008514851,0.151539165,0.373854501,0.0033662666419807127,0.045444599666739617,1.0384932590510498,-0.066012488849241768,1.1748270580512687,2.8983555787453934,0.0032414910858995136,0.043760129659643439,1.0,-0.06356564,1.131280389,2.790923825
eu,uk,incite-nutrition,B00RXIIW7K,2023-11-24,4.0,45.0,3980.97,1.088009653,541,-37.5,-687.06,-95.82,1025.3899999999999,553,407,960,893,537,1430,0.0010047802420013214,0.011303777722514865,0.135896528,-0.024069511,0.138910868,0.359208937,0.0039009547586771869,0.043885741035118352,0.5276041311110895,-0.093447371244112,0.539306995387121,1.3945913262270944,0.0073937153419593345,0.083179297597042512,1.0,-0.177116451,1.022181146,2.643253235
eu,uk,incite-nutrition,B00RXIIW7K,2023-11-04,5.0,46.0,2871.85,0.788924936,330,-46.9,-419.1,-14.75,904.99000000000012,395,251,646,630,346,976,0.0017410380068596898,0.016017549663109146,0.114908508,-0.005136062,0.137542003,0.339850619,0.0055249229273251627,0.0508292909313915,0.36464491320346076,-0.016298522635609231,0.43646891125868786,1.0784649554138719,0.015151515151515152,0.1393939393939394,1.0,-0.04469697,1.196969697,2.957575758
